instance_id,start,goal,num_nodes,num_edges,ground_truth_shortest_path,generated_text,parsed_path,output_format,parse_success,valid_path,optimal_path,path_length,shortest_length,num_generated_tokens,mean_selected_logprob,min_selected_logprob,max_selected_logprob,mean_token_entropy,max_token_entropy,min_token_entropy,num_attention_layers,mean_attention_entropy_all_layers,min_attention_entropy_all_layers,max_attention_entropy_all_layers,mean_attention_maxprob_all_layers,min_attention_maxprob_all_layers,max_attention_maxprob_all_layers,layer_0_mean_attention_entropy,layer_0_mean_attention_maxprob,layer_1_mean_attention_entropy,layer_1_mean_attention_maxprob,layer_2_mean_attention_entropy,layer_2_mean_attention_maxprob,layer_3_mean_attention_entropy,layer_3_mean_attention_maxprob,layer_4_mean_attention_entropy,layer_4_mean_attention_maxprob,layer_5_mean_attention_entropy,layer_5_mean_attention_maxprob,layer_6_mean_attention_entropy,layer_6_mean_attention_maxprob,layer_7_mean_attention_entropy,layer_7_mean_attention_maxprob,layer_8_mean_attention_entropy,layer_8_mean_attention_maxprob,layer_9_mean_attention_entropy,layer_9_mean_attention_maxprob,layer_10_mean_attention_entropy,layer_10_mean_attention_maxprob,layer_11_mean_attention_entropy,layer_11_mean_attention_maxprob,layer_12_mean_attention_entropy,layer_12_mean_attention_maxprob,layer_13_mean_attention_entropy,layer_13_mean_attention_maxprob,layer_14_mean_attention_entropy,layer_14_mean_attention_maxprob,layer_15_mean_attention_entropy,layer_15_mean_attention_maxprob,layer_16_mean_attention_entropy,layer_16_mean_attention_maxprob,layer_17_mean_attention_entropy,layer_17_mean_attention_maxprob,layer_18_mean_attention_entropy,layer_18_mean_attention_maxprob,layer_19_mean_attention_entropy,layer_19_mean_attention_maxprob,layer_20_mean_attention_entropy,layer_20_mean_attention_maxprob,layer_21_mean_attention_entropy,layer_21_mean_attention_maxprob,layer_22_mean_attention_entropy,layer_22_mean_attention_maxprob,layer_23_mean_attention_entropy,layer_23_mean_attention_maxprob,layer_24_mean_attention_entropy,layer_24_mean_attention_maxprob,layer_25_mean_attention_entropy,layer_25_mean_attention_maxprob,layer_26_mean_attention_entropy,layer_26_mean_attention_maxprob,layer_27_mean_attention_entropy,layer_27_mean_attention_maxprob,layer_28_mean_attention_entropy,layer_28_mean_attention_maxprob,layer_29_mean_attention_entropy,layer_29_mean_attention_maxprob,layer_30_mean_attention_entropy,layer_30_mean_attention_maxprob,layer_31_mean_attention_entropy,layer_31_mean_attention_maxprob
test_n10_p03_00000,8,9,10,31,"[8, 2, 9]","[8, 2, 0, 7, 5, 9]",,list_like,0,0,0,0,3,24,-0.31587159083123123,-1.111739158630371,-1.2874520507466514e-05,0.8721801007765558,3.794351577758789,0.0001991849858313799,32,1.7166748046875,0.99609375,4.4375,0.5946197509765625,0.08056640625,0.78125,4.4375,0.08056640625,3.6875,0.18359375,3.546875,0.189453125,1.359375,0.51953125,1.3359375,0.51953125,1.3125,0.56640625,1.4765625,0.61328125,1.3828125,0.6640625,1.2890625,0.7265625,1.671875,0.62109375,1.53125,0.66015625,1.90625,0.55859375,1.75,0.6015625,1.84375,0.59765625,1.96875,0.5390625,1.96875,0.546875,1.921875,0.546875,1.7421875,0.609375,1.7109375,0.60546875,1.75,0.58984375,1.296875,0.7109375,1.328125,0.70703125,1.0625,0.78125,1.046875,0.76953125,0.99609375,0.78125,1.09375,0.75,1.0234375,0.76953125,1.15625,0.7421875,1.203125,0.70703125,1.546875,0.62890625,1.8203125,0.56640625,1.765625,0.57421875
test_n10_p03_00001,2,6,10,28,"[2, 8, 0, 6]","{""path"": [2, 1, 5, 7, 4, 6]}","[2, 1, 5, 7, 4, 6]",json_like,1,1,0,6,4,24,-0.23654471559802914,-1.2774326801300049,-1.4662635294371285e-05,0.4918649254729341,2.643127918243408,0.00021417008247226477,32,1.708984375,1.0,4.40625,0.5944671630859375,0.08154296875,0.78125,4.40625,0.08154296875,3.671875,0.185546875,3.546875,0.1875,1.390625,0.478515625,1.3671875,0.48046875,1.328125,0.57421875,1.484375,0.6171875,1.375,0.671875,1.296875,0.7265625,1.65625,0.62109375,1.515625,0.66015625,1.8984375,0.5625,1.7421875,0.6015625,1.8359375,0.59765625,1.9609375,0.5390625,1.9375,0.5546875,1.8984375,0.5546875,1.7109375,0.6171875,1.7109375,0.6015625,1.71875,0.59765625,1.28125,0.71484375,1.3359375,0.70703125,1.0546875,0.78125,1.0390625,0.76953125,1.0,0.78125,1.0859375,0.75,1.0078125,0.7734375,1.1328125,0.74609375,1.1953125,0.7109375,1.5390625,0.6328125,1.796875,0.5703125,1.765625,0.57421875
test_n10_p03_00002,4,0,10,24,"[4, 1, 7, 8, 0]","{""path"": [4, 1, 7, 5, 0]}","[4, 1, 7, 5, 0]",json_like,1,0,0,5,5,24,-0.2847386043707729,-1.3716087341308594,-1.3947389561508317e-05,0.7959768706241448,4.016737937927246,0.00020696513820439577,32,1.6649169921875,0.99609375,4.375,0.6195068359375,0.0830078125,0.78125,4.375,0.0830078125,3.640625,0.1875,3.546875,0.1865234375,1.25,0.66015625,1.1796875,0.6796875,1.0546875,0.7421875,1.2421875,0.73046875,1.1640625,0.75,1.296875,0.7265625,1.640625,0.625,1.5234375,0.66015625,1.875,0.56640625,1.7265625,0.60546875,1.8359375,0.59765625,1.9453125,0.54296875,1.90625,0.5625,1.8828125,0.55859375,1.703125,0.6171875,1.6875,0.61328125,1.6796875,0.60546875,1.234375,0.7265625,1.2890625,0.71875,1.0546875,0.78125,1.03125,0.76953125,0.99609375,0.78125,1.09375,0.74609375,1.015625,0.76953125,1.140625,0.74609375,1.1953125,0.70703125,1.5390625,0.62890625,1.7734375,0.57421875,1.7578125,0.57421875
test_n10_p03_00003,1,0,10,30,"[1, 0]","{""path"": [1, 2, 5, 0]}","[1, 2, 5, 0]",json_like,1,1,0,4,2,24,-0.3288408738837158,-1.403975486755371,-1.490105023549404e-05,0.9066114418261956,4.091052055358887,0.0002130146895069629,32,1.713623046875,0.9765625,4.40625,0.5921478271484375,0.08251953125,0.7890625,4.40625,0.08251953125,3.703125,0.18359375,3.546875,0.1845703125,1.453125,0.474609375,1.4296875,0.4765625,1.4140625,0.53515625,1.5625,0.5859375,1.453125,0.64453125,1.296875,0.7265625,1.6640625,0.62109375,1.515625,0.66015625,1.890625,0.56640625,1.7578125,0.59765625,1.84375,0.59765625,1.9609375,0.5390625,1.9375,0.5546875,1.8984375,0.5546875,1.7265625,0.609375,1.6875,0.609375,1.6875,0.60546875,1.25,0.71875,1.2890625,0.71484375,1.0390625,0.78515625,1.03125,0.7734375,0.9765625,0.7890625,1.078125,0.75,0.9921875,0.7734375,1.140625,0.7421875,1.15625,0.71484375,1.53125,0.62890625,1.7734375,0.5703125,1.7421875,0.578125
test_n10_p03_00004,2,8,10,35,"[2, 6, 8]","{""path"": [2, 6, 5, 8]}","[2, 6, 5, 8]",json_like,1,1,0,4,3,24,-0.3485506364790278,-1.5029621124267578,-1.537788011773955e-05,0.9247824877190093,4.1806840896606445,0.0002191411331295967,32,1.7030029296875,0.9765625,4.46875,0.5998687744140625,0.07958984375,0.7890625,4.46875,0.07958984375,3.734375,0.1826171875,3.578125,0.1875,1.3203125,0.5234375,1.296875,0.52734375,1.2578125,0.61328125,1.4296875,0.64453125,1.3359375,0.6875,1.296875,0.72265625,1.6796875,0.6171875,1.5234375,0.66015625,1.90625,0.55859375,1.75,0.59765625,1.8359375,0.59765625,1.9609375,0.5390625,1.9453125,0.55078125,1.9140625,0.55078125,1.71875,0.61328125,1.6953125,0.609375,1.71875,0.59765625,1.265625,0.71875,1.3125,0.71484375,1.0546875,0.78125,1.0546875,0.76953125,0.9765625,0.7890625,1.0859375,0.75,0.99609375,0.7734375,1.140625,0.74609375,1.171875,0.71484375,1.53125,0.6328125,1.8046875,0.56640625,1.734375,0.578125
test_n10_p03_00005,6,9,10,30,"[6, 9]","[6, 9]",,list_like,0,0,0,0,2,24,-0.3323660740673707,-1.7015689611434937,-7.83174327807501e-05,0.9089433803601423,4.155647277832031,0.0009384508011862636,32,1.6531982421875,0.9296875,4.4375,0.624755859375,0.08203125,0.78515625,4.4375,0.08203125,3.6875,0.1845703125,3.59375,0.1865234375,0.99609375,0.75,0.9296875,0.76171875,0.9296875,0.77734375,1.1796875,0.74609375,1.125,0.7578125,1.3046875,0.72265625,1.6796875,0.6171875,1.5234375,0.66015625,1.890625,0.5625,1.7265625,0.6015625,1.8359375,0.59765625,1.9609375,0.5390625,1.9453125,0.55078125,1.8828125,0.5546875,1.6875,0.62109375,1.6953125,0.609375,1.6953125,0.60546875,1.25,0.72265625,1.2890625,0.71875,1.046875,0.78515625,1.0390625,0.76953125,0.9921875,0.78125,1.1015625,0.74609375,1.0234375,0.765625,1.1484375,0.7421875,1.1953125,0.70703125,1.546875,0.625,1.8046875,0.56640625,1.7578125,0.57421875
test_n10_p03_00006,5,1,10,27,"[5, 6, 8, 1]","{""path"": [5, 6, 8, 1]}","[5, 6, 8, 1]",json_like,1,1,1,4,4,24,-0.35917115689350493,-1.5039023160934448,-1.0251946150674485e-05,0.9482161210368455,4.152737140655518,0.00015371576591860503,32,1.6898193359375,0.99609375,4.40625,0.6034698486328125,0.08251953125,0.78125,4.40625,0.08251953125,3.65625,0.1865234375,3.53125,0.1904296875,1.2890625,0.56640625,1.25,0.5703125,1.234375,0.6171875,1.40625,0.64453125,1.3203125,0.6875,1.2890625,0.7265625,1.6484375,0.625,1.5234375,0.66015625,1.8828125,0.5625,1.7265625,0.60546875,1.8203125,0.6015625,1.9453125,0.54296875,1.921875,0.5546875,1.8984375,0.5546875,1.71875,0.61328125,1.6796875,0.61328125,1.703125,0.6015625,1.265625,0.71875,1.3046875,0.71484375,1.0625,0.78125,1.046875,0.76953125,0.99609375,0.78125,1.0859375,0.75,1.0078125,0.76953125,1.1484375,0.7421875,1.1953125,0.70703125,1.5390625,0.62890625,1.8046875,0.56640625,1.765625,0.57421875
test_n10_p03_00007,4,2,10,27,"[4, 3, 2]","{""path"": [4, 3, 2]}","[4, 3, 2]",json_like,1,1,1,3,3,24,-0.3139231741331135,-1.4624656438827515,-1.07287787614041e-05,0.8548212045116088,3.771916389465332,0.00015935355622787029,32,1.6961669921875,0.98828125,4.40625,0.607025146484375,0.0830078125,0.78125,4.40625,0.0830078125,3.671875,0.1845703125,3.5625,0.1806640625,1.5078125,0.546875,1.4453125,0.55859375,1.265625,0.671875,1.3984375,0.6875,1.265625,0.72265625,1.296875,0.72265625,1.640625,0.625,1.515625,0.66015625,1.875,0.56640625,1.7265625,0.60546875,1.828125,0.59765625,1.9375,0.546875,1.90625,0.55859375,1.875,0.55859375,1.703125,0.6171875,1.671875,0.61328125,1.671875,0.60546875,1.234375,0.7265625,1.28125,0.71875,1.046875,0.78125,1.03125,0.7734375,0.98828125,0.78125,1.0859375,0.74609375,1.0,0.76953125,1.140625,0.7421875,1.1875,0.70703125,1.5390625,0.62890625,1.8046875,0.56640625,1.765625,0.5703125
test_n10_p03_00008,8,1,10,28,"[8, 1]","{""path"": [8, 3, 9, 7, 1]}","[8, 3, 9, 7, 1]",json_like,1,0,0,5,2,24,-0.3082039726471824,-1.2893637418746948,-8.940656698541716e-06,0.800395027829533,3.9734365940093994,0.0001366936630802229,32,1.7017822265625,0.98828125,4.40625,0.601715087890625,0.0830078125,0.78515625,4.40625,0.0830078125,3.6875,0.1845703125,3.5625,0.1826171875,1.4453125,0.53125,1.3984375,0.5390625,1.296875,0.625,1.4375,0.65234375,1.3203125,0.6953125,1.296875,0.72265625,1.6484375,0.625,1.5234375,0.66015625,1.890625,0.5625,1.7421875,0.6015625,1.828125,0.59765625,1.9609375,0.5390625,1.9375,0.55078125,1.875,0.55859375,1.7265625,0.61328125,1.6875,0.609375,1.6953125,0.6015625,1.2421875,0.72265625,1.2890625,0.71875,1.0390625,0.78515625,1.0390625,0.76953125,0.98828125,0.78515625,1.0859375,0.74609375,1.0,0.76953125,1.140625,0.7421875,1.1875,0.7109375,1.53125,0.62890625,1.7890625,0.56640625,1.7578125,0.57421875
test_n10_p03_00009,4,0,10,24,"[4, 0]","{""path"": [4, 0, 2, 1, 7, 5, 9",,json_like,0,0,0,0,2,24,-0.19283998532993488,-1.1731529235839844,-1.1444026313256472e-05,0.35077294295660977,1.617354154586792,0.000171926905750297,32,1.6890869140625,0.98828125,4.375,0.608856201171875,0.083984375,0.78515625,4.375,0.083984375,3.65625,0.185546875,3.546875,0.1826171875,1.453125,0.5625,1.421875,0.57421875,1.2578125,0.67578125,1.3828125,0.69140625,1.2578125,0.7265625,1.296875,0.72265625,1.65625,0.62109375,1.5234375,0.66015625,1.875,0.56640625,1.7421875,0.6015625,1.8203125,0.6015625,1.953125,0.5390625,1.921875,0.5546875,1.890625,0.5546875,1.703125,0.6171875,1.6875,0.609375,1.6875,0.60546875,1.2421875,0.72265625,1.28125,0.71875,1.03125,0.78515625,1.0234375,0.7734375,0.98828125,0.78515625,1.0859375,0.74609375,1.0,0.76953125,1.125,0.74609375,1.1796875,0.7109375,1.515625,0.6328125,1.7421875,0.578125,1.7265625,0.578125
