instance_id,split,num_nodes,edge_prob,num_edges,start,goal,shortest_path,shortest_path_length,graph_json,graph_text
train_n10_p03_00000,train,10,0.3,30,0,4,"[0, 3, 4]",3,"{""0"": [3, 5], ""1"": [5, 6, 8, 9], ""2"": [0, 4, 5, 8], ""3"": [1, 4, 9], ""4"": [0, 6], ""5"": [2, 7, 8], ""6"": [0, 3, 4, 7, 8], ""7"": [1, 3, 4, 6], ""8"": [7], ""9"": [1, 6]}","0: [3, 5]
1: [5, 6, 8, 9]
2: [0, 4, 5, 8]
3: [1, 4, 9]
4: [0, 6]
5: [2, 7, 8]
6: [0, 3, 4, 7, 8]
7: [1, 3, 4, 6]
8: [7]
9: [1, 6]"
train_n10_p03_00001,train,10,0.3,21,3,2,"[3, 1, 2]",3,"{""0"": [1], ""1"": [2, 6], ""2"": [1, 5], ""3"": [1, 9], ""4"": [1, 5], ""5"": [3, 6], ""6"": [2], ""7"": [3, 9], ""8"": [0, 6, 7], ""9"": [1, 4, 7, 8]}","0: [1]
1: [2, 6]
2: [1, 5]
3: [1, 9]
4: [1, 5]
5: [3, 6]
6: [2]
7: [3, 9]
8: [0, 6, 7]
9: [1, 4, 7, 8]"
train_n10_p03_00002,train,10,0.3,25,9,6,"[9, 3, 6]",3,"{""0"": [3], ""1"": [4, 6, 7, 9], ""2"": [3, 5, 6], ""3"": [5, 6, 8], ""4"": [2, 3, 7, 8], ""5"": [3], ""6"": [], ""7"": [0, 2, 3, 5], ""8"": [4, 9], ""9"": [0, 3, 5]}","0: [3]
1: [4, 6, 7, 9]
2: [3, 5, 6]
3: [5, 6, 8]
4: [2, 3, 7, 8]
5: [3]
6: []
7: [0, 2, 3, 5]
8: [4, 9]
9: [0, 3, 5]"
train_n10_p03_00003,train,10,0.3,30,0,1,"[0, 1]",2,"{""0"": [1, 3, 5, 7, 9], ""1"": [3, 7], ""2"": [0, 3, 5, 6, 7, 8], ""3"": [9], ""4"": [0, 3, 6], ""5"": [2, 3, 6, 8], ""6"": [0, 2], ""7"": [], ""8"": [0, 5], ""9"": [2, 3, 4, 6, 8]}","0: [1, 3, 5, 7, 9]
1: [3, 7]
2: [0, 3, 5, 6, 7, 8]
3: [9]
4: [0, 3, 6]
5: [2, 3, 6, 8]
6: [0, 2]
7: []
8: [0, 5]
9: [2, 3, 4, 6, 8]"
train_n10_p03_00004,train,10,0.3,26,3,8,"[3, 7, 9, 8]",4,"{""0"": [3, 4, 5], ""1"": [3, 5], ""2"": [3, 8], ""3"": [1, 7], ""4"": [2], ""5"": [6, 7], ""6"": [2, 3, 4], ""7"": [1, 3, 5, 9], ""8"": [0, 9], ""9"": [1, 2, 4, 7, 8]}","0: [3, 4, 5]
1: [3, 5]
2: [3, 8]
3: [1, 7]
4: [2]
5: [6, 7]
6: [2, 3, 4]
7: [1, 3, 5, 9]
8: [0, 9]
9: [1, 2, 4, 7, 8]"
train_n10_p03_00005,train,10,0.3,20,3,7,"[3, 7]",2,"{""0"": [3, 4], ""1"": [4], ""2"": [1, 7], ""3"": [1, 2, 5, 6, 7], ""4"": [0, 1], ""5"": [4], ""6"": [3, 7, 8], ""7"": [0, 2], ""8"": [9], ""9"": [8]}","0: [3, 4]
1: [4]
2: [1, 7]
3: [1, 2, 5, 6, 7]
4: [0, 1]
5: [4]
6: [3, 7, 8]
7: [0, 2]
8: [9]
9: [8]"
train_n10_p03_00006,train,10,0.3,28,4,0,"[4, 0]",2,"{""0"": [6, 8], ""1"": [3, 5, 8, 9], ""2"": [6, 7], ""3"": [0, 4, 8, 9], ""4"": [0, 9], ""5"": [2], ""6"": [0, 4, 7, 8, 9], ""7"": [0, 5, 6], ""8"": [0, 1, 6], ""9"": [2, 5]}","0: [6, 8]
1: [3, 5, 8, 9]
2: [6, 7]
3: [0, 4, 8, 9]
4: [0, 9]
5: [2]
6: [0, 4, 7, 8, 9]
7: [0, 5, 6]
8: [0, 1, 6]
9: [2, 5]"
train_n10_p03_00007,train,10,0.3,22,6,5,"[6, 5]",2,"{""0"": [2, 4], ""1"": [2], ""2"": [3, 5], ""3"": [], ""4"": [2], ""5"": [4, 8], ""6"": [2, 3, 4, 5, 7], ""7"": [1, 6], ""8"": [0, 1, 6, 9], ""9"": [0, 4, 7]}","0: [2, 4]
1: [2]
2: [3, 5]
3: []
4: [2]
5: [4, 8]
6: [2, 3, 4, 5, 7]
7: [1, 6]
8: [0, 1, 6, 9]
9: [0, 4, 7]"
train_n10_p03_00008,train,10,0.3,30,5,1,"[5, 2, 7, 1]",4,"{""0"": [8], ""1"": [4, 5], ""2"": [4, 5, 7, 8], ""3"": [0, 1, 7], ""4"": [5, 7, 8, 9], ""5"": [0, 2, 6, 9], ""6"": [0, 5, 8], ""7"": [1, 2], ""8"": [2, 5, 6], ""9"": [0, 2, 6, 8]}","0: [8]
1: [4, 5]
2: [4, 5, 7, 8]
3: [0, 1, 7]
4: [5, 7, 8, 9]
5: [0, 2, 6, 9]
6: [0, 5, 8]
7: [1, 2]
8: [2, 5, 6]
9: [0, 2, 6, 8]"
train_n10_p03_00009,train,10,0.3,23,6,1,"[6, 1]",2,"{""0"": [5, 7], ""1"": [3], ""2"": [], ""3"": [1, 7, 9], ""4"": [0, 1, 2], ""5"": [], ""6"": [1, 2, 7], ""7"": [4, 5, 6, 8, 9], ""8"": [2, 4, 9], ""9"": [1, 3, 5]}","0: [5, 7]
1: [3]
2: []
3: [1, 7, 9]
4: [0, 1, 2]
5: []
6: [1, 2, 7]
7: [4, 5, 6, 8, 9]
8: [2, 4, 9]
9: [1, 3, 5]"
train_n10_p03_00010,train,10,0.3,28,5,4,"[5, 4]",2,"{""0"": [1, 2, 8], ""1"": [5, 6, 7], ""2"": [0, 1, 5, 8], ""3"": [1, 6], ""4"": [3, 7, 9], ""5"": [0, 1, 4, 6], ""6"": [0, 3, 5], ""7"": [2, 4], ""8"": [3, 7], ""9"": [3, 8]}","0: [1, 2, 8]
1: [5, 6, 7]
2: [0, 1, 5, 8]
3: [1, 6]
4: [3, 7, 9]
5: [0, 1, 4, 6]
6: [0, 3, 5]
7: [2, 4]
8: [3, 7]
9: [3, 8]"
train_n10_p03_00011,train,10,0.3,25,7,8,"[7, 1, 8]",3,"{""0"": [4, 7], ""1"": [0, 5, 8], ""2"": [5, 9], ""3"": [1, 4, 8], ""4"": [6], ""5"": [2, 3, 6, 9], ""6"": [4, 8], ""7"": [1, 6], ""8"": [0, 3, 4, 6], ""9"": [2, 7]}","0: [4, 7]
1: [0, 5, 8]
2: [5, 9]
3: [1, 4, 8]
4: [6]
5: [2, 3, 6, 9]
6: [4, 8]
7: [1, 6]
8: [0, 3, 4, 6]
9: [2, 7]"
train_n10_p03_00012,train,10,0.3,24,6,1,"[6, 7, 1]",3,"{""0"": [2, 6, 7], ""1"": [3], ""2"": [0, 7], ""3"": [2, 8, 9], ""4"": [8], ""5"": [0, 1, 2], ""6"": [3, 4, 7, 9], ""7"": [1, 4, 6, 9], ""8"": [0, 2], ""9"": [6]}","0: [2, 6, 7]
1: [3]
2: [0, 7]
3: [2, 8, 9]
4: [8]
5: [0, 1, 2]
6: [3, 4, 7, 9]
7: [1, 4, 6, 9]
8: [0, 2]
9: [6]"
