instance_id,split,num_nodes,edge_prob,num_edges,start,goal,shortest_path,shortest_path_length,graph_json,graph_text
train_n10_p03_00250,train,10,0.3,28,7,3,"[7, 1, 3]",3,"{""0"": [3], ""1"": [3, 5, 7, 9], ""2"": [1, 9], ""3"": [6, 7, 8, 9], ""4"": [5, 7], ""5"": [0, 4], ""6"": [1, 5, 7], ""7"": [1, 8, 9], ""8"": [1, 4, 6, 9], ""9"": [1, 6, 7]}","0: [3]
1: [3, 5, 7, 9]
2: [1, 9]
3: [6, 7, 8, 9]
4: [5, 7]
5: [0, 4]
6: [1, 5, 7]
7: [1, 8, 9]
8: [1, 4, 6, 9]
9: [1, 6, 7]"
train_n10_p03_00217,train,10,0.3,21,3,2,"[3, 9, 5, 2]",4,"{""0"": [3], ""1"": [0, 3, 9], ""2"": [3, 5], ""3"": [9], ""4"": [], ""5"": [0, 2, 3, 7], ""6"": [9], ""7"": [1, 2, 4, 5, 9], ""8"": [5, 9], ""9"": [5, 6]}","0: [3]
1: [0, 3, 9]
2: [3, 5]
3: [9]
4: []
5: [0, 2, 3, 7]
6: [9]
7: [1, 2, 4, 5, 9]
8: [5, 9]
9: [5, 6]"
train_n10_p03_00324,train,10,0.3,26,7,9,"[7, 0, 9]",3,"{""0"": [4, 6, 9], ""1"": [0, 2, 4, 7], ""2"": [6], ""3"": [], ""4"": [2, 3, 5, 6, 7, 8], ""5"": [3, 7, 8], ""6"": [2, 7, 8], ""7"": [0, 2, 8], ""8"": [9], ""9"": [0, 6]}","0: [4, 6, 9]
1: [0, 2, 4, 7]
2: [6]
3: []
4: [2, 3, 5, 6, 7, 8]
5: [3, 7, 8]
6: [2, 7, 8]
7: [0, 2, 8]
8: [9]
9: [0, 6]"
train_n15_p025_00386,train,15,0.25,53,11,12,"[11, 12]",2,"{""0"": [8, 12, 13], ""1"": [0, 3, 4, 5, 6, 7, 11], ""2"": [6], ""3"": [5, 7, 9, 10], ""4"": [0, 1, 7, 11], ""5"": [7, 9, 13], ""6"": [7, 9, 11], ""7"": [4, 9, 14], ""8"": [0, 7, 9, 10], ""9"": [0, 10, 13], ""10"": [7], ""11"": [2, 3, 12], ""12"": [2, 9, 11, 13], ""13"": [0, 5, 6, 9, 12, 14], ""14"": [2, 7, 9, 13]}","0: [8, 12, 13]
1: [0, 3, 4, 5, 6, 7, 11]
2: [6]
3: [5, 7, 9, 10]
4: [0, 1, 7, 11]
5: [7, 9, 13]
6: [7, 9, 11]
7: [4, 9, 14]
8: [0, 7, 9, 10]
9: [0, 10, 13]
10: [7]
11: [2, 3, 12]
12: [2, 9, 11, 13]
13: [0, 5, 6, 9, 12, 14]
14: [2, 7, 9, 13]"
train_n5_p035_00305,train,5,0.35,6,3,0,"[3, 2, 1, 0]",4,"{""0"": [4], ""1"": [0], ""2"": [1], ""3"": [2], ""4"": [0, 3]}","0: [4]
1: [0]
2: [1]
3: [2]
4: [0, 3]"
train_n15_p025_00107,train,15,0.25,60,6,9,"[6, 13, 4, 9]",4,"{""0"": [6, 8, 11, 13], ""1"": [0, 2, 14], ""2"": [3, 5, 10, 12], ""3"": [4, 7, 8, 14], ""4"": [0, 1, 2, 9, 12, 13], ""5"": [4, 7, 14], ""6"": [1, 13, 14], ""7"": [1, 2, 8, 11], ""8"": [2], ""9"": [0, 2, 3, 10, 14], ""10"": [2, 3, 9], ""11"": [2, 4, 5, 7, 14], ""12"": [0, 6, 8, 9, 10], ""13"": [1, 3, 4, 5, 11], ""14"": [4, 6, 8, 11, 13]}","0: [6, 8, 11, 13]
1: [0, 2, 14]
2: [3, 5, 10, 12]
3: [4, 7, 8, 14]
4: [0, 1, 2, 9, 12, 13]
5: [4, 7, 14]
6: [1, 13, 14]
7: [1, 2, 8, 11]
8: [2]
9: [0, 2, 3, 10, 14]
10: [2, 3, 9]
11: [2, 4, 5, 7, 14]
12: [0, 6, 8, 9, 10]
13: [1, 3, 4, 5, 11]
14: [4, 6, 8, 11, 13]"
train_n15_p025_00646,train,15,0.25,58,9,5,"[9, 6, 3, 5]",4,"{""0"": [9, 10], ""1"": [0, 3, 6, 8, 11, 13], ""2"": [0, 4, 5, 7], ""3"": [5, 10, 11, 12], ""4"": [1], ""5"": [1, 6, 8, 10], ""6"": [3, 4, 7, 9, 10, 12, 13], ""7"": [2, 3, 4, 6, 12, 14], ""8"": [1, 4], ""9"": [0, 6], ""10"": [9, 11, 13], ""11"": [1, 2, 3, 5, 9, 13], ""12"": [1, 2, 3, 7, 11], ""13"": [3, 6, 11], ""14"": [0, 5, 10]}","0: [9, 10]
1: [0, 3, 6, 8, 11, 13]
2: [0, 4, 5, 7]
3: [5, 10, 11, 12]
4: [1]
5: [1, 6, 8, 10]
6: [3, 4, 7, 9, 10, 12, 13]
7: [2, 3, 4, 6, 12, 14]
8: [1, 4]
9: [0, 6]
10: [9, 11, 13]
11: [1, 2, 3, 5, 9, 13]
12: [1, 2, 3, 7, 11]
13: [3, 6, 11]
14: [0, 5, 10]"
train_n5_p035_00363,train,5,0.35,7,1,2,"[1, 2]",2,"{""0"": [1, 3], ""1"": [0, 2, 4], ""2"": [], ""3"": [0, 1], ""4"": []}","0: [1, 3]
1: [0, 2, 4]
2: []
3: [0, 1]
4: []"
train_n15_p025_00615,train,15,0.25,59,6,3,"[6, 2, 10, 3]",4,"{""0"": [9, 11, 12, 13], ""1"": [2, 14], ""2"": [0, 1, 6, 8, 10, 12], ""3"": [1, 2, 4, 9, 14], ""4"": [10, 12, 14], ""5"": [1, 8], ""6"": [2, 7, 8, 9], ""7"": [], ""8"": [0, 4, 9, 11, 12, 14], ""9"": [0, 2, 8, 12], ""10"": [0, 1, 3, 6, 13, 14], ""11"": [1, 5, 6, 8, 10], ""12"": [3, 6, 7, 10, 11], ""13"": [1, 4, 12], ""14"": [0, 8, 10, 11]}","0: [9, 11, 12, 13]
1: [2, 14]
2: [0, 1, 6, 8, 10, 12]
3: [1, 2, 4, 9, 14]
4: [10, 12, 14]
5: [1, 8]
6: [2, 7, 8, 9]
7: []
8: [0, 4, 9, 11, 12, 14]
9: [0, 2, 8, 12]
10: [0, 1, 3, 6, 13, 14]
11: [1, 5, 6, 8, 10]
12: [3, 6, 7, 10, 11]
13: [1, 4, 12]
14: [0, 8, 10, 11]"
train_n5_p035_00414,train,5,0.35,11,3,1,"[3, 1]",2,"{""0"": [4], ""1"": [0, 2, 3], ""2"": [3, 4], ""3"": [1, 4], ""4"": [0, 2, 3]}","0: [4]
1: [0, 2, 3]
2: [3, 4]
3: [1, 4]
4: [0, 2, 3]"
