feature_group,band,count,fraction,avg_predicted_reliability,empirical_valid_rate,empirical_risk,min_score,max_score
Combined,Accept / low risk,146,0.3004115226337449,0.6638429640873184,0.6917808219178082,0.3082191780821918,0.5746834503631383,0.900167914835372
Combined,Review / medium risk,194,0.3991769547325103,0.48451700220768423,0.5154639175257731,0.48453608247422686,0.3934496822586344,0.57432310049329
Combined,Reject or verify / high risk,146,0.3004115226337449,0.3120455556962095,0.2808219178082192,0.7191780821917808,0.1510233387590117,0.3928442636695933
Token only,Accept / low risk,146,0.3004115226337449,0.6207917360284232,0.6712328767123288,0.3287671232876712,0.5526354580769516,0.7995343283946981
Token only,Review / medium risk,194,0.3991769547325103,0.4871774682442893,0.4793814432989691,0.5206185567010309,0.4193891168365046,0.5511869928650934
Token only,Reject or verify / high risk,146,0.3004115226337449,0.3363123159698483,0.3493150684931507,0.6506849315068493,0.1471820744624532,0.4179060277354539
Pooled attention,Accept / low risk,146,0.3004115226337449,0.6278126783985127,0.6232876712328768,0.37671232876712324,0.5483114584813396,0.8132699338018005
Pooled attention,Review / medium risk,194,0.3991769547325103,0.49017791181784715,0.5103092783505154,0.4896907216494846,0.422196256488322,0.547903747325068
Pooled attention,Reject or verify / high risk,146,0.3004115226337449,0.33540067850409233,0.3561643835616438,0.6438356164383562,0.1421270611238742,0.4218599833316446
Region summary,Accept / low risk,146,0.3004115226337449,0.6730685746197168,0.636986301369863,0.363013698630137,0.586712750553793,0.9573029794404424
Region summary,Review / medium risk,194,0.3991769547325103,0.4758935368994004,0.5257731958762887,0.4742268041237113,0.3998965308545121,0.5845896397289613
Region summary,Reject or verify / high risk,146,0.3004115226337449,0.3199645161707024,0.3219178082191781,0.678082191780822,0.1326377599817613,0.399552236464656
