feature_group,band,count,fraction,avg_predicted_reliability,empirical_valid_rate,empirical_risk,min_score,max_score
Combined,Accept / low risk,150,0.30060120240480964,0.46397970769991453,0.5,0.5,0.2586039835377138,0.8406067839991422
Combined,Review / medium risk,199,0.39879759519038077,0.18592533158004818,0.1658291457286432,0.8341708542713568,0.127493626896946,0.2583907060725915
Combined,Reject or verify / high risk,150,0.30060120240480964,0.07285740782959244,0.08,0.92,0.0048924271801589,0.127387578623015
Token only,Accept / low risk,150,0.30060120240480964,0.40413214772393463,0.48,0.52,0.2588033215437095,0.7998852571549082
Token only,Review / medium risk,199,0.39879759519038077,0.20756733523355975,0.1507537688442211,0.8492462311557789,0.1603886588037494,0.2586652100900334
Token only,Reject or verify / high risk,150,0.30060120240480964,0.1214943989721445,0.12,0.88,0.0626152973217147,0.1596911135723032
Pooled attention,Accept / low risk,150,0.30060120240480964,0.35496827507353185,0.4066666666666667,0.5933333333333333,0.2747370976890654,0.6502921920203726
Pooled attention,Review / medium risk,199,0.39879759519038077,0.22001886370834117,0.20100502512562815,0.7989949748743719,0.172003888979877,0.2747250753271918
Pooled attention,Reject or verify / high risk,150,0.30060120240480964,0.13345214642442027,0.12666666666666668,0.8733333333333333,0.0391900449317631,0.1720031271943858
Region summary,Accept / low risk,150,0.30060120240480964,0.40867507349233034,0.41333333333333333,0.5866666666666667,0.2548898973812666,0.6143986968234572
Region summary,Review / medium risk,199,0.39879759519038077,0.194790131059207,0.22613065326633167,0.7738693467336684,0.1383493618473006,0.2548354560199773
Region summary,Reject or verify / high risk,150,0.30060120240480964,0.10103714083380842,0.08666666666666667,0.9133333333333333,0.0356026812611656,0.1382152812015211
