feature_group,coverage,threshold_used,avg_confidence,selective_accuracy,risk
Combined,0.1,0.536,0.666,0.62,0.38
Combined,0.301,0.259,0.464,0.5,0.5
Combined,0.501,0.184,0.366,0.388,0.612
Combined,0.699,0.127,0.305,0.309,0.691
Combined,1.0,0.005,0.236,0.24,0.76
Token only,0.1,0.434,0.591,0.62,0.38
Token only,0.301,0.259,0.404,0.48,0.52
Token only,0.501,0.209,0.336,0.356,0.644
Token only,0.699,0.16,0.292,0.292,0.708
Token only,1.0,0.063,0.241,0.24,0.76
Pooled attention,0.1,0.372,0.435,0.48,0.52
Pooled attention,0.301,0.275,0.355,0.407,0.593
Pooled attention,0.501,0.219,0.312,0.34,0.66
Pooled attention,0.699,0.172,0.278,0.289,0.711
Pooled attention,1.0,0.039,0.235,0.24,0.76
Region summary,0.1,0.514,0.545,0.54,0.46
Region summary,0.301,0.255,0.409,0.413,0.587
Region summary,0.501,0.191,0.335,0.352,0.648
Region summary,0.699,0.138,0.287,0.307,0.693
Region summary,1.0,0.036,0.231,0.24,0.76
