coverage,kept,threshold_used,avg_confidence,selective_accuracy,risk
0.10020040080160321,50,0.5363577396075179,0.665715995021647,0.62,0.38
0.15030060120240482,75,0.4206752362584952,0.6022363311182315,0.6266666666666667,0.3733333333333333
0.20040080160320642,100,0.3440197504977311,0.5458598175882063,0.57,0.43000000000000005
0.250501002004008,125,0.3034525012355135,0.5008717041895147,0.536,0.46399999999999997
0.30060120240480964,150,0.2586039835377138,0.46397970769991453,0.5,0.5
0.35070140280561124,175,0.2357466977919682,0.4331564764829454,0.46285714285714286,0.5371428571428571
0.40080160320641284,200,0.2181101680094999,0.407148892173654,0.44,0.56
0.45090180360721444,225,0.1997127973611417,0.3851009126072069,0.40444444444444444,0.5955555555555556
0.501002004008016,250,0.1844079713593693,0.36589889307137724,0.388,0.612
0.5490981963927856,274,0.1665442706552627,0.3491209165587903,0.36496350364963503,0.635036496350365
0.5991983967935872,299,0.1526447371350673,0.3331236118342731,0.3411371237458194,0.6588628762541806
0.6492985971943888,324,0.1402209533429324,0.31866539749101236,0.32407407407407407,0.6759259259259259
0.6993987975951904,349,0.127493626896946,0.3054329430928847,0.30945558739255014,0.6905444126074498
0.749498997995992,374,0.1122973232924888,0.29306437408347685,0.2994652406417112,0.7005347593582888
0.7995991983967936,399,0.0931873865834821,0.281074432419963,0.2832080200501253,0.7167919799498748
0.8496993987975952,424,0.0738074802828513,0.26936650049555083,0.2688679245283019,0.7311320754716981
0.8997995991983968,449,0.056252608880707,0.25796568835430156,0.2561247216035635,0.7438752783964365
0.9498997995991983,474,0.0357003354703415,0.2466883322447919,0.2468354430379747,0.7531645569620253
1.0,499,0.0048924271801589,0.23552045754279685,0.24048096192384769,0.7595190380761523
